Proceso,Inicio,Fin
Proceso_0,22.0,8.0
Proceso_1,33.0,12.0
Proceso_2,41.0,16.0
Proceso_3,53.0,19.0
Proceso_4,90.0,31.0
Proceso_5,108.0,37.0
Proceso_6,133.0,45.0
Proceso_7,155.0,62.0
Proceso_8,164.0,65.0
Proceso_9,168.0,71.0
Proceso_10,170.0,74.0
Proceso_11,179.0,85.0
Proceso_12,187.0,93.0
Proceso_13,193.0,100.0
Proceso_14,196.0,104.0
Proceso_15,208.0,122.0
Proceso_16,215.0,130.0
Proceso_17,223.0,144.0
Proceso_18,225.0,145.0
Proceso_19,226.0,148.0
Proceso_20,229.0,152.0
Proceso_21,230.0,154.0
Proceso_22,231.0,158.0
Proceso_23,234.0,162.0
Proceso_24,235.0,165.0
Proceso_25,237.0,166.0
Proceso_26,238.0,169.0
Proceso_27,239.0,171.0
Proceso_28,241.0,174.0
Proceso_29,242.0,177.0
Proceso_30,243.0,181.0
Proceso_31,244.0,183.0
Proceso_32,245.0,186.0
Proceso_33,246.0,190.0
Proceso_34,248.0,192.0
Proceso_35,249.0,194.0
Proceso_36,250.0,199.0
Proceso_37,251.0,201.0
Proceso_38,252.0,204.0
Proceso_39,253.0,205.0
Proceso_40,254.0,206.0
Proceso_41,256.0,210.0
Proceso_42,257.0,212.0
Proceso_43,258.0,214.0
Proceso_44,260.0,217.0
Proceso_45,261.0,220.0
Proceso_46,262.0,221.0
Proceso_47,263.0,222.0
Proceso_48,264.0,228.0
Proceso_49,265.0,233.0
